frame,tracker_id,identity_id,recognized_identity,recognition_score,recognition_status,face_score,person_score,fused_score,cumulative_identity_score,person_bbox,recognition_correct_by_tracker,snapshot_path,face_detected,tracker_active,bbox,area_ratio,brightness,landmark_conf,scale_pass,brightness_pass,landmark_pass,status,failure,tracker_invalid
0,0,2,2,0.7436754107475281,PERSON_ONLY_NEW_IDENTITY,,0.7436754107475281,0.7436754107475281,0.7436754107475281,"[364, 745, 513, 1271]",True,,0,1,"[364, 745, 513, 1271]",,,,,,,PERSON_ONLY,,
0,1,3,3,0.7761908769607545,PERSON_ONLY_NEW_IDENTITY,,0.7761908769607544,0.7761908769607545,0.7761908769607545,"[258, 715, 369, 1121]",True,,0,1,"[258, 715, 369, 1121]",,,,,,,PERSON_ONLY,,
0,2,4,4,0.6079102158546448,PERSON_ONLY_NEW_IDENTITY,,0.6079102158546448,0.6079102158546448,0.6079102158546448,"[662, 265, 689, 362]",True,,0,1,"[662, 265, 689, 362]",,,,,,,PERSON_ONLY,,
1,0,2,2,,PERSON_ONLY_TRACK,,,,0.7436754107475281,"[367, 750, 515, 1271]",True,,0,1,"[367, 750, 515, 1271]",,,,,,,PERSON_ONLY_TRACK,,
1,1,3,3,,PERSON_ONLY_TRACK,,,,0.7761908769607545,"[257, 713, 368, 1121]",True,,0,1,"[257, 713, 368, 1121]",,,,,,,PERSON_ONLY_TRACK,,
1,2,4,4,,TRACKER_PREDICTED,,,,0.6079102158546448,"[662, 265, 689, 362]",True,,0,1,"[662, 265, 689, 362]",,,,,,,TRACKER_PREDICTED,DETECTORS_MISSED,
2,0,2,2,,PERSON_ONLY_TRACK,,,,0.7436754107475281,"[368, 749, 515, 1271]",True,,0,1,"[368, 749, 515, 1271]",,,,,,,PERSON_ONLY_TRACK,,
2,1,3,3,,PERSON_ONLY_TRACK,,,,0.7761908769607545,"[257, 714, 369, 1121]",True,,0,1,"[257, 714, 369, 1121]",,,,,,,PERSON_ONLY_TRACK,,
2,2,4,4,,TRACKER_PREDICTED,,,,0.6079102158546448,"[662, 265, 689, 362]",True,,0,1,"[662, 265, 689, 362]",,,,,,,TRACKER_PREDICTED,DETECTORS_MISSED,
3,0,2,2,,PERSON_ONLY_TRACK,,,,0.7436754107475281,"[370, 755, 516, 1270]",True,,0,1,"[370, 755, 516, 1270]",,,,,,,PERSON_ONLY_TRACK,,
3,1,3,3,,PERSON_ONLY_TRACK,,,,0.7761908769607545,"[257, 714, 369, 1121]",True,,0,1,"[257, 714, 369, 1121]",,,,,,,PERSON_ONLY_TRACK,,
3,2,4,4,,TRACKER_PREDICTED,,,,0.6079102158546448,"[662, 265, 689, 362]",True,,0,1,"[662, 265, 689, 362]",,,,,,,TRACKER_PREDICTED,DETECTORS_MISSED,
4,0,2,2,,PERSON_ONLY_TRACK,,,,0.7436754107475281,"[366, 737, 516, 1270]",True,,0,1,"[366, 737, 516, 1270]",,,,,,,PERSON_ONLY_TRACK,,
4,1,3,3,,PERSON_ONLY_TRACK,,,,0.7761908769607545,"[257, 714, 368, 1121]",True,,0,1,"[257, 714, 368, 1121]",,,,,,,PERSON_ONLY_TRACK,,
